lom_1,lom_2,lom_3,phio_1,phio_2,phio_3,Fom_1,Fom_2,Fom_3,lst_1,lst_2,lst_3
0.14512188576127505,0.08645582075586523,0.09769624183140839,0.061059083438062656,0.253868090667447,0.137070838591368,1137.952796492914,4449.397202521348,2872.8059732173574,0.22832543881105702,0.25292820226608687,0.3802394391376104
0.14512188874041837,0.0861231031346976,0.10021184933907763,0.061059076882438446,0.25386809087013357,0.13707083805185272,1099.5263353708904,4202.280559649064,2381.3978074357165,0.22921318049040787,0.2536143610971769,0.3849162682831178
0.14442740541403212,0.013075085756819886,0.10145612772346749,0.06188082833358604,1.1867006524988708,0.137613668057595,1096.1338680087201,4376.071559794186,2724.758579858406,0.2298301881094092,0.21345554530095265,0.39119181402928105
0.028943118142657973,0.0839199790763441,0.10154842019432404,0.18993509067216147,0.2539427564255259,0.13709738048254086,1142.4748577333587,4530.892577997564,2828.870214827372,0.1861298518146753,0.250714450682856,0.38340848379146064
0.028942930831677222,0.0858644275105252,0.09832721530925817,0.1893435057909008,0.25484771367603637,0.1397663532264507,1176.4968867527054,4613.694805848197,2913.296895923878,0.18559916726058945,0.2537566235972711,0.39044496761115927
0.14512188873089757,0.08648099231753278,0.09459416302627005,0.06105907730718707,0.2538680906126952,0.1370708389302556,1018.0249228530123,4378.495120983832,2763.251911496863,0.23065323207648353,0.2569706602886382,0.39046295414199145
0.14484734431704854,0.08217598676841528,0.012807524313175356,0.06178919177520942,0.2559559519056632,1.0089953837124452,1102.0953684084097,4432.281747702671,2816.050553880929,0.22932009543855003,0.2544044307739277,0.32494872513610884
0.14442534321072545,0.08651997463758268,0.009521272483023063,0.06266490175980918,0.2541066849030758,1.0092328087716336,1171.6469084230582,4578.927025809381,2882.4435730151263,0.22981081538532852,0.2560005207938209,0.32304010544232814
0.030059369234881967,0.08514528980950137,0.10148888535543474,0.18991510822455518,0.25397102661171,0.13719600144262625,1165.0534987631333,4524.932105276977,2832.4247752748324,0.19631165963674602,0.2516396655498773,0.38625381738507103
0.14512188837945664,0.0834990809392517,0.06540558019188497,0.06105907802059836,0.2538680958043856,0.20094747852570974,967.3169115021357,3126.817407300818,2309.102225010334,0.24705458441214662,0.2511471321976385,0.3784137642525746
0.1451218885513662,0.08365825501902283,0.06999083973968213,0.06105907741287654,0.2538680923461258,0.1884282746290267,1050.2935516039956,3813.1891969956873,2783.6527781418827,0.22870589495470425,0.2511930448436981,0.37803837342980334
0.14512188840074117,0.08458780852874238,0.1017101156288905,0.061059077071434285,0.25386809200630395,0.1370708379184921,1021.0370057052945,3650.9967211844096,2600.11998601834,0.2291960628342077,0.2488403004661975,0.38505735758709936
0.1451218878511603,0.08239638216961141,0.10171011750580006,0.061059077243648154,0.2538680921403143,0.1370708379230444,949.2616597141254,3363.7043340711252,2338.6597439766556,0.22674303006004054,0.25109430147248046,0.4240874343719022
0.14512188838108522,0.08615689046083595,0.10049648830536541,0.06105907644055924,0.25386809117477305,0.13707083833396475,1074.6922007685919,4021.1518109822277,2484.716357681959,0.22756329604129033,0.25509376074907936,0.3831872374544879
0.14512188873839463,0.0833488850712713,0.09749543831985526,0.06105907694615396,0.25386809170261926,0.1370708385973975,867.096056233309,4311.098451970547,1999.5720282215884,0.22781788735155878,0.25007186670758735,0.38303837770780713
0.1451218842197891,0.08594525425884761,0.10171011720275565,0.061059077139688445,0.2538680909145973,0.13707083742166745,1159.2534557300567,4546.065401324276,2909.802513445843,0.22712504516206586,0.25372489864526415,0.39101788713262653
0.1451218850715532,0.041883750830600405,0.10171011535609373,0.061059086286244214,0.510319490266163,0.1370708404400805,1059.9156041546069,3699.7659916305674,2580.4352790089247,0.2261309362047211,0.24677247046809345,0.3892293426150746
0.1451218880035404,0.08198049074384911,0.09876637547960244,0.06208168501405891,0.25386809321687565,0.13707083894459188,1004.7790318615242,4308.053328567665,2810.5499186407365,0.2264692267033603,0.2509899241115547,0.38981427609958447
0.14512188859046865,0.08461807999208726,0.101710117464185,0.061173224971449086,0.25386809123558957,0.13707083812276738,1122.6141202855056,4316.0302375388255,2775.695356233432,0.22826611624361706,0.2527700996876817,0.38846351115864675
